----Metadata----
Import schema version,1
----SpecMetadata----
Manufacturer,Model Name,Acquisition Frequency (MHz),Frequency Start (MHz),Frequency End (MHz),Nominal Gain (dBi),Beamwidth (Degrees),Electrical Downtilt (Degrees),Electrical Downtilt (Min),Electrical Downtilt (Max),Polarization,Description
KP Performance,KP-2SX4-33,2450,2300,2700,18.5,36,0,,,VERTICAL,ProLine Sector Antenna
----PatternData----
Angle (Degrees),Azimuth Gain (dBi),Elevation Gain (dBi)
127,-13.33,-25.449
128,-13.425,-25.965
129,-13.606,-25.615
130,-13.875,-24.694
131,-14.25,-23.533
132,-14.719,-22.406
133,-15.28,-21.469
134,-15.922,-20.778
135,-16.617,-20.341
136,-17.318,-20.157
137,-17.97,-20.233
138,-18.514,-20.601
139,-18.914,-21.323
140,-19.164,-22.513
141,-19.289,-24.378
142,-19.322,-27.369
143,-19.289,-31.678
144,-19.204,-30.155
145,-19.069,-28.833
146,-18.883,-28.57
147,-18.643,-28.673
148,-18.35,-29.124
149,-18.012,-30.327
150,-17.647,-32.638
151,-17.257,-33.832
152,-16.876,-32.689
153,-16.525,-32.107
154,-16.225,-30.465
155,-15.996,-28.332
156,-15.863,-26.96
157,-15.832,-26.457
158,-15.925,-26.801
159,-16.155,-28.09
160,-16.527,-30.697
161,-17.071,-34.845
162,-17.782,-33.168
163,-18.673,-31.613
164,-19.739,-31.294
165,-20.939,-31.297
166,-22.213,-30.477
167,-23.498,-29.083
168,-24.844,-27.999
169,-26.349,-27.332
170,-26.975,-26.884
171,-25.254,-26.289
172,-23.222,-25.477
173,-21.644,-24.826
174,-20.452,-24.786
175,-19.536,-25.835
176,-18.833,-25.869
177,-18.293,-24.229
178,-17.885,-27.159
179,-17.587,-21.162
180,-17.385,-17.46
